City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Eureka,US,2022-03-03 20:56:43,40.8021,-124.1637,58.68,83,100,11.01
1,Havelock,US,2022-03-03 20:56:44,34.8791,-76.9013,75.96,47,20,13.0
2,Iqaluit,CA,2022-03-03 20:56:44,63.7506,-68.5145,-2.31,77,100,2.3
3,Ushuaia,AR,2022-03-03 20:54:54,-54.8,-68.3,56.86,54,40,6.91
4,Jinka,ET,2022-03-03 20:56:45,5.65,36.65,73.29,32,66,0.63
5,Punta Arenas,CL,2022-03-03 20:55:52,-53.15,-70.9167,55.51,47,75,23.02
6,Upernavik,GL,2022-03-03 20:56:46,72.7868,-56.1549,8.49,89,100,15.21
7,Penzance,GB,2022-03-03 20:56:46,50.1186,-5.5371,45.77,75,100,14.74
8,Sirjan,IR,2022-03-03 20:56:47,29.452,55.6814,56.75,38,86,10.02
9,Busselton,AU,2022-03-03 20:56:47,-33.65,115.3333,52.05,90,1,8.14
10,Jiaojiang,CN,2022-03-03 20:56:47,28.6803,121.4428,55.99,95,100,4.65
11,Maham,IN,2022-03-03 20:56:48,28.9833,76.3,57.29,73,56,7.56
12,Hamilton,US,2022-03-03 20:54:03,39.1834,-84.5333,45.57,54,90,4.0
13,Akyab,MM,2022-03-03 20:56:48,20.15,92.9,68.9,40,3,8.84
14,Takoradi,GH,2022-03-03 20:56:49,4.8845,-1.7554,80.04,84,61,10.4
15,Vaini,TO,2022-03-03 20:56:49,-21.2,-175.2,77.16,100,40,12.66
16,Omsukchan,RU,2022-03-03 20:56:50,62.5333,155.8,-18.65,100,100,4.63
17,Coquimbo,CL,2022-03-03 20:55:55,-29.9533,-71.3436,71.33,64,0,12.66
18,Albany,US,2022-03-03 20:53:37,42.6001,-73.9662,29.44,44,88,5.01
19,Rikitea,PF,2022-03-03 20:56:47,-23.1203,-134.9692,80.04,74,0,19.28
20,Chokurdakh,RU,2022-03-03 20:56:51,70.6333,147.9167,-18.36,100,83,3.53
21,Puerto Ayora,EC,2022-03-03 20:56:51,-0.7393,-90.3518,82.36,73,52,8.63
22,Acapulco,MX,2022-03-03 20:53:37,16.8634,-99.8901,85.32,53,0,11.21
23,Pipri,IN,2022-03-03 20:56:52,19.8,75.5333,76.77,29,19,7.9
24,Shelbyville,US,2022-03-03 20:52:45,35.4834,-86.4603,78.4,27,0,5.75
25,Olafsvik,IS,2022-03-03 20:56:52,64.8945,-23.7142,36.75,82,91,11.21
26,Kodiak,US,2022-03-03 20:56:52,57.79,-152.4072,37.11,74,7,8.03
27,Mataura,NZ,2022-03-03 20:56:53,-46.1927,168.8643,59.49,90,100,2.17
28,Viedma,AR,2022-03-03 20:56:53,-40.8135,-62.9967,84.49,27,95,17.81
29,Puerto Madryn,AR,2022-03-03 20:56:54,-42.7692,-65.0385,87.12,21,62,15.26
30,Butaritari,KI,2022-03-03 20:56:54,3.0707,172.7902,80.85,83,100,15.14
31,Bozuyuk,TR,2022-03-03 20:56:55,39.9078,30.0367,30.49,90,71,4.61
32,Lavrentiya,RU,2022-03-03 20:54:08,65.5833,-171.0,7.66,91,89,7.67
33,Rancho Palos Verdes,US,2022-03-03 20:55:56,33.7445,-118.387,77.67,72,92,8.99
34,Shimsk,RU,2022-03-03 20:56:55,58.212,30.7127,30.56,97,100,4.54
35,Lebu,CL,2022-03-03 20:56:56,-37.6167,-73.65,63.73,76,10,8.5
36,Guerrero Negro,MX,2022-03-03 20:56:56,27.9769,-114.0611,72.99,31,71,8.81
37,Half Moon Bay,US,2022-03-03 20:56:56,37.4636,-122.4286,62.49,83,40,6.91
38,Jamestown,US,2022-03-03 20:55:33,42.097,-79.2353,25.09,52,100,9.22
39,Mar Del Plata,AR,2022-03-03 20:52:56,-38.0023,-57.5575,69.82,85,0,27.0
40,Malindi,KE,2022-03-03 20:56:27,-3.2175,40.1191,77.9,87,97,13.33
41,Chuy,UY,2022-03-03 20:56:57,-33.6971,-53.4616,71.94,60,12,11.16
42,Barrow,US,2022-03-03 20:56:57,71.2906,-156.7887,1.31,99,99,4.54
43,Mbini,GQ,2022-03-03 20:56:58,1.574,9.6134,80.44,83,99,3.56
44,Lasa,IT,2022-03-03 20:56:58,46.6166,10.7002,39.02,93,43,5.44
45,Victoria,HK,2022-03-03 20:56:19,22.2855,114.1577,69.94,89,47,3.0
46,Esso,RU,2022-03-03 20:57:59,55.9333,158.7,18.34,96,100,1.66
47,Goulburn,AU,2022-03-03 20:57:59,-34.75,149.7167,63.59,94,94,8.55
48,Cabo San Lucas,MX,2022-03-03 20:57:06,22.8909,-109.9124,93.51,45,2,7.47
49,Hilo,US,2022-03-03 20:57:47,19.7297,-155.09,76.62,92,9,1.99
50,Bani Walid,LY,2022-03-03 20:57:59,31.7566,13.9942,53.28,59,23,8.32
51,Saskylakh,RU,2022-03-03 20:58:00,71.9167,114.0833,-29.09,100,98,3.31
52,Alakurtti,RU,2022-03-03 20:58:00,66.9672,30.3491,18.05,89,34,7.81
53,Savelugu,GH,2022-03-03 20:58:00,9.6244,-0.8253,94.75,19,7,4.79
54,Ahipara,NZ,2022-03-03 20:58:01,-35.1667,173.1667,68.65,63,37,12.5
55,Bethel,US,2022-03-03 20:58:01,41.3712,-73.414,41.09,43,31,3.0
56,Husavik,IS,2022-03-03 20:58:01,66.0449,-17.3389,33.71,87,100,6.71
57,Kangaatsiaq,GL,2022-03-03 20:58:02,68.3065,-53.4641,5.14,91,100,2.04
58,La Palma,US,2022-03-03 20:58:02,33.8464,-118.0467,80.42,66,81,8.99
59,Souillac,MU,2022-03-03 20:58:02,-20.5167,57.5167,79.18,94,75,11.5
60,Bredasdorp,ZA,2022-03-03 20:58:03,-34.5322,20.0403,63.72,77,37,4.61
61,College,US,2022-03-03 20:58:03,64.8569,-147.8028,29.89,65,62,1.01
62,Dikson,RU,2022-03-03 20:58:03,73.5069,80.5464,-3.46,95,100,10.45
63,Saint George,US,2022-03-03 20:56:08,37.1041,-113.5841,79.27,15,34,3.0
64,Stephenville,US,2022-03-03 20:54:06,32.2207,-98.2023,79.56,25,0,8.05
65,Muisne,EC,2022-03-03 20:58:04,0.6,-80.0333,82.51,85,97,6.49
66,Tasiilaq,GL,2022-03-03 20:58:05,65.6145,-37.6368,26.82,92,100,6.98
67,Pevek,RU,2022-03-03 20:58:05,69.7008,170.3133,-16.4,100,96,0.69
68,Georgetown,MY,2022-03-03 20:57:06,5.4112,100.3354,80.53,93,20,2.3
69,Aksu,CN,2022-03-03 20:58:05,41.1231,80.2644,41.38,34,0,5.03
70,Nanortalik,GL,2022-03-03 20:58:06,60.1432,-45.2371,21.11,64,79,12.73
71,Sao Jose Da Coroa Grande,BR,2022-03-03 20:58:07,-8.8978,-35.1478,81.52,73,25,8.55
72,Lucea,JM,2022-03-03 20:58:07,18.451,-78.1736,84.06,72,24,12.39
73,San Rafael,AR,2022-03-03 20:58:07,-34.6177,-68.3301,89.15,28,0,6.38
74,Serebryanyy Bor,RU,2022-03-03 20:58:08,56.8,124.8,-11.92,100,98,1.99
75,Salinas,US,2022-03-03 20:58:08,36.6777,-121.6555,65.01,58,100,5.77
76,Poum,NC,2022-03-03 20:58:09,-20.2333,164.0167,80.65,73,5,6.46
77,Sakakah,SA,2022-03-03 20:58:09,29.9697,40.2064,58.57,40,89,17.98
78,Loreto,MX,2022-03-03 20:58:10,22.2667,-101.9667,79.27,15,0,2.86
79,Luderitz,NA,2022-03-03 20:58:10,-26.6481,15.1594,65.98,84,0,8.95
80,Nouadhibou,MR,2022-03-03 20:58:10,20.931,-17.0347,67.98,77,0,17.27
81,Atuona,PF,2022-03-03 20:58:11,-9.8,-139.0333,79.12,73,2,20.15
82,Malakal,SS,2022-03-03 20:58:11,9.5334,31.6605,85.12,40,17,4.0
83,Saint-Philippe,RE,2022-03-03 20:58:12,-21.3585,55.7679,78.39,83,34,9.75
